local_id: 1 || global_id: 1 || residential_pe: 0
local_id: 2 || global_id: 2 || residential_pe: 0
local_id: 3 || global_id: 3 || residential_pe: 0
local_id: 4 || global_id: 4 || residential_pe: 0
local_id: 5 || global_id: 5 || residential_pe: 0
local_id: 6 || global_id: 6 || residential_pe: 0
local_id: 7 || global_id: 7 || residential_pe: 0
local_id: 8 || global_id: 8 || residential_pe: 0
local_id: 9 || global_id: 9 || residential_pe: 0
local_id: 10 || global_id: 10 || residential_pe: 0
local_id: 11 || global_id: 11 || residential_pe: 0
local_id: 12 || global_id: 12 || residential_pe: 0
local_id: 13 || global_id: 13 || residential_pe: 0
local_id: 14 || global_id: 14 || residential_pe: 0
local_id: 15 || global_id: 15 || residential_pe: 0
local_id: 16 || global_id: 16 || residential_pe: 0
local_id: 17 || global_id: 17 || residential_pe: 0
local_id: 18 || global_id: 18 || residential_pe: 0
local_id: 19 || global_id: 19 || residential_pe: 0
local_id: 20 || global_id: 20 || residential_pe: 0
local_id: 21 || global_id: 21 || residential_pe: 0
local_id: 22 || global_id: 22 || residential_pe: 0
local_id: 23 || global_id: 23 || residential_pe: 0
local_id: 24 || global_id: 24 || residential_pe: 0
local_id: 25 || global_id: 25 || residential_pe: 0
local_id: 26 || global_id: 26 || residential_pe: 0
local_id: 27 || global_id: 27 || residential_pe: 0
local_id: 28 || global_id: 28 || residential_pe: 0
local_id: 29 || global_id: 29 || residential_pe: 0
local_id: 30 || global_id: 30 || residential_pe: 0
local_id: 31 || global_id: 31 || residential_pe: 0
local_id: 32 || global_id: 32 || residential_pe: 0
local_id: 33 || global_id: 33 || residential_pe: 0
local_id: 34 || global_id: 34 || residential_pe: 0
local_id: 35 || global_id: 35 || residential_pe: 0
local_id: 36 || global_id: 36 || residential_pe: 0
local_id: 37 || global_id: 37 || residential_pe: 0
local_id: 38 || global_id: 38 || residential_pe: 0
local_id: 39 || global_id: 39 || residential_pe: 0
local_id: 40 || global_id: 40 || residential_pe: 0
local_id: 41 || global_id: 41 || residential_pe: 0
local_id: 42 || global_id: 42 || residential_pe: 0
local_id: 43 || global_id: 43 || residential_pe: 0
local_id: 44 || global_id: 44 || residential_pe: 0
local_id: 45 || global_id: 45 || residential_pe: 0
local_id: 46 || global_id: 46 || residential_pe: 0
local_id: 47 || global_id: 47 || residential_pe: 0
local_id: 48 || global_id: 48 || residential_pe: 0
local_id: 49 || global_id: 49 || residential_pe: 0
local_id: 50 || global_id: 50 || residential_pe: 0
local_id: 51 || global_id: 51 || residential_pe: 0
local_id: 52 || global_id: 52 || residential_pe: 0
local_id: 53 || global_id: 53 || residential_pe: 0
local_id: 54 || global_id: 54 || residential_pe: 0
local_id: 55 || global_id: 55 || residential_pe: 0
local_id: 56 || global_id: 56 || residential_pe: 0
local_id: 57 || global_id: 57 || residential_pe: 0
local_id: 58 || global_id: 58 || residential_pe: 0
local_id: 59 || global_id: 59 || residential_pe: 0
local_id: 60 || global_id: 60 || residential_pe: 0
local_id: 61 || global_id: 61 || residential_pe: 0
local_id: 62 || global_id: 62 || residential_pe: 0
local_id: 63 || global_id: 63 || residential_pe: 0
local_id: 64 || global_id: 64 || residential_pe: 0
local_id: 65 || global_id: 65 || residential_pe: 0
local_id: 66 || global_id: 66 || residential_pe: 0
local_id: 67 || global_id: 67 || residential_pe: 0
local_id: 68 || global_id: 68 || residential_pe: 0
local_id: 69 || global_id: 69 || residential_pe: 0
local_id: 70 || global_id: 70 || residential_pe: 0
local_id: 71 || global_id: 71 || residential_pe: 0
local_id: 72 || global_id: 72 || residential_pe: 0
local_id: 73 || global_id: 73 || residential_pe: 0
local_id: 74 || global_id: 74 || residential_pe: 0
local_id: 75 || global_id: 75 || residential_pe: 0
local_id: 76 || global_id: 76 || residential_pe: 0
local_id: 77 || global_id: 77 || residential_pe: 0
local_id: 78 || global_id: 78 || residential_pe: 0
local_id: 79 || global_id: 79 || residential_pe: 0
local_id: 80 || global_id: 80 || residential_pe: 0
local_id: 81 || global_id: 81 || residential_pe: 0
local_id: 82 || global_id: 82 || residential_pe: 0
local_id: 83 || global_id: 83 || residential_pe: 0
local_id: 84 || global_id: 84 || residential_pe: 0
local_id: 85 || global_id: 85 || residential_pe: 0
local_id: 86 || global_id: 86 || residential_pe: 0
local_id: 87 || global_id: 87 || residential_pe: 0
local_id: 88 || global_id: 88 || residential_pe: 0
local_id: 89 || global_id: 89 || residential_pe: 0
local_id: 90 || global_id: 90 || residential_pe: 0
local_id: 91 || global_id: 91 || residential_pe: 0
local_id: 92 || global_id: 92 || residential_pe: 0
local_id: 93 || global_id: 93 || residential_pe: 0
local_id: 94 || global_id: 94 || residential_pe: 0
local_id: 95 || global_id: 95 || residential_pe: 0
local_id: 96 || global_id: 96 || residential_pe: 0
local_id: 97 || global_id: 97 || residential_pe: 0
local_id: 98 || global_id: 98 || residential_pe: 0
local_id: 99 || global_id: 99 || residential_pe: 0
local_id: 100 || global_id: 100 || residential_pe: 0
local_id: 101 || global_id: 101 || residential_pe: 0
local_id: 102 || global_id: 102 || residential_pe: 0
local_id: 103 || global_id: 103 || residential_pe: 0
local_id: 104 || global_id: 104 || residential_pe: 0
local_id: 105 || global_id: 105 || residential_pe: 0
local_id: 106 || global_id: 106 || residential_pe: 0
local_id: 107 || global_id: 107 || residential_pe: 0
local_id: 108 || global_id: 108 || residential_pe: 0
local_id: 109 || global_id: 109 || residential_pe: 0
local_id: 110 || global_id: 110 || residential_pe: 0
local_id: 111 || global_id: 111 || residential_pe: 0
local_id: 112 || global_id: 112 || residential_pe: 0
local_id: 113 || global_id: 113 || residential_pe: 0
local_id: 114 || global_id: 114 || residential_pe: 0
local_id: 115 || global_id: 115 || residential_pe: 0
local_id: 116 || global_id: 116 || residential_pe: 0
local_id: 117 || global_id: 117 || residential_pe: 0
local_id: 118 || global_id: 118 || residential_pe: 0
local_id: 119 || global_id: 119 || residential_pe: 0
local_id: 120 || global_id: 120 || residential_pe: 0
local_id: 121 || global_id: 121 || residential_pe: 0
local_id: 122 || global_id: 122 || residential_pe: 0
local_id: 123 || global_id: 123 || residential_pe: 0
